City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,sirte,31.2089,16.5887,20.65,72,0,3.45,LY,1699580255
295,belabo,4.9333,13.3,20.85,98,100,0.6,CM,1699580807
296,mili,6.0815,171.735,28.05,81,86,5.12,MH,1699580807
297,shubarkuduk,49.1447,56.4872,8.41,70,100,8.44,KZ,1699580808
298,petrolina,-9.3986,-40.5008,26.03,69,0,3.09,BR,1699580565
299,leava,-14.3,-178.1667,26.89,85,100,5.36,WF,1699580808
300,al hufuf,25.3646,49.5653,20.19,77,0,1.54,SA,1699580809
301,bhagalpur,25.25,87.0,21.66,53,0,1.25,IN,1699580809
302,greenland,43.0362,-70.8328,4.02,93,100,2.57,US,1699580810
303,bom jesus,-9.0744,-44.3586,26.78,54,68,0.56,BR,1699580810
304,hastings,50.8552,0.5729,10.99,77,11,8.72,GB,1699580811
305,novi pazar,43.1367,20.5122,5.7,86,100,1.14,RS,1699580811
306,naze,28.3667,129.4833,20.51,75,67,6.33,JP,1699580812
307,viedma,-40.8135,-62.9967,14.04,57,2,6.58,AR,1699580812
308,nagqu,31.5,92.0,-6.12,61,100,2.08,CN,1699580813
309,yaring,6.8662,101.3689,27.94,81,100,1.48,TH,1699580813
310,santiago de cao,-7.9589,-79.2392,20.07,83,75,4.12,PE,1699580814
311,jamaame,0.0697,42.745,24.95,90,100,1.66,SO,1699580814
312,loango,-4.6719,11.8312,25.24,90,89,2.13,CG,1699580814
313,yaren,-0.5472,166.916,28.97,77,99,8.16,NR,1699580815
314,puerto ayacucho,5.6639,-67.6236,25.56,89,70,1.3,VE,1699580815
315,creel,27.75,-107.6333,8.06,86,1,1.55,MX,1699580816
316,ancud,-41.8697,-73.8203,7.81,88,6,0.73,CL,1699580310
317,huarmey,-10.0681,-78.1522,19.18,86,20,3.39,PE,1699580817
318,jimo,36.3897,120.4622,6.88,53,0,4.0,CN,1699580817
319,byron bay,-28.65,153.6167,22.06,80,100,4.33,AU,1699580299
320,ziro,27.6333,93.8333,8.41,60,7,0.88,IN,1699580818
321,st. john's,47.5649,-52.7093,3.42,96,100,10.8,CA,1699580526
322,callao,-12.0667,-77.15,20.95,77,100,4.63,PE,1699580819
323,dhidhdhoo,6.8833,73.1,28.21,74,95,2.72,MV,1699580819
324,tommot,58.9564,126.2925,-14.81,87,100,3.5,RU,1699580233
325,mahajanga,-15.7167,46.3167,26.01,83,20,2.06,MG,1699580821
326,port blair,11.6667,92.75,28.02,83,40,0.51,IN,1699580822
327,sarupathar,26.1984,93.8094,20.96,82,0,1.18,IN,1699580822
328,bethanie,-26.4833,17.15,23.31,17,21,1.67,NA,1699580823
329,launceston,-41.45,147.1667,23.8,53,40,8.23,AU,1699580823
330,lae,-6.7221,146.9847,32.37,66,33,4.55,PG,1699580824
331,fortaleza,-3.7227,-38.5247,29.48,68,0,6.17,BR,1699580794
332,okhotsk,59.3833,143.3,-15.36,79,14,6.36,RU,1699580825
333,pangoa,-12.1167,-73.0,20.14,88,76,1.29,PE,1699580825
334,copiapo,-27.3667,-70.3333,14.83,70,95,1.95,CL,1699580826
335,castillos,-34.1667,-53.8333,11.19,76,46,2.99,UY,1699580826
336,monrovia,6.3005,-10.7969,25.73,84,100,2.74,LR,1699580827
337,piterka,50.6803,47.4454,5.98,74,100,10.43,RU,1699580827
338,igarka,67.4667,86.5833,-9.85,84,99,10.76,RU,1699580828
339,douentza,14.9951,-2.9517,25.58,23,71,2.6,ML,1699580828
340,howard springs,-12.497,131.047,28.79,56,61,1.61,AU,1699580828
341,saint-pierre,-21.3393,55.4781,22.82,68,0,2.06,RE,1699580829
342,alaghsas,17.0187,8.0168,24.38,17,25,4.44,NE,1699580258
343,buriti bravo,-5.8372,-43.8336,26.52,53,64,0.12,BR,1699580830
344,puerto aysen,-45.4,-72.7,5.11,98,87,1.11,CL,1699580711
345,usogorsk,63.4106,48.6872,0.37,96,95,2.36,RU,1699580831
346,dudinka,69.4058,86.1778,-5.21,88,100,13.3,RU,1699580831
347,wicklow,53.0,-6.4167,5.03,89,100,3.43,IE,1699580831
348,novaya igirma,57.1334,103.9112,-14.07,83,9,0.41,RU,1699580832
349,nianzishan,47.5167,122.8833,-6.88,53,11,6.42,CN,1699580832
350,petawawa,45.9001,-77.3328,1.77,93,75,1.54,CA,1699580833
351,bluefields,12.0137,-83.7635,26.09,90,36,2.85,NI,1699580833
352,haiku-pauwela,20.9219,-156.3051,28.01,58,20,10.8,US,1699580834
353,bandarbeyla,9.4942,50.8122,26.07,81,100,6.39,SO,1699580834
354,waingapu,-9.6567,120.2641,31.05,59,98,4.17,ID,1699580834
355,gantang,26.92,119.6333,22.07,92,100,0.62,CN,1699580835
356,alofi,-19.0595,-169.9187,27.94,83,100,4.12,NU,1699580835
357,delta,5.5,6.0,24.3,96,100,1.3,NG,1699580836
358,hell-ville,-13.4,48.2667,26.56,78,29,2.74,MG,1699580836
359,nuuk,64.1835,-51.7216,-3.66,74,100,2.24,GL,1699580837
360,valadares,41.1474,-7.9812,9.05,98,98,1.84,PT,1699580837
361,wesselsbron,-27.8549,26.3658,14.82,53,0,3.18,ZA,1699580838
362,muang khong,14.1167,105.85,28.43,77,43,1.09,LA,1699580838
363,columbia falls,48.3725,-114.1815,1.62,84,0,0.0,US,1699580839
